,Film,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Film ID
51,Captain Blood,1935,119,"Action,Adventure,History",7.7,"13,708",106183d2-50d3-4d50-8ead-6ed52a93f7c6
52,David Copperfield,1935,130,"Adventure,Drama,Romance",7.4,"4,069",303fd7b4-de82-4d82-a79f-857b45dda877
53,The Informer,1935,91,"Crime,Drama",7.4,"6,169",98c15d3b-d3c6-4af3-b717-12d446154f5d
54,The Lives of a Bengal Lancer,1935,109,"Adventure,Drama,War",7.1,"2,813",f6953c25-25ea-41d3-807c-ef4fdfed54cd
55,A Midsummer Night's Dream,1935,133,"Comedy,Fantasy,Romance",6.9,"3,339",dee5c6d4-6438-4110-b72a-a49322b52070
56,Les Misérables,1935,108,"Drama,History,Romance",7.7,"3,468",521b9bf2-426b-49a1-aeb3-d228db8a970c
57,Naughty Marietta,1935,105,"Drama,Musical,Romance",6.7,"1,307",adde70ec-0094-4ce0-91ff-6b9ab12387fd
58,Ruggles of Red Gap,1935,90,"Comedy,Romance,Western",7.6,"3,874",f4c74985-f2ec-45db-b8aa-444087ad34d4
59,Top Hat,1935,101,"Comedy,Musical,Romance",7.8,"18,339",c7ea701f-f0be-4108-b734-14412b70d3b2
60,The Great Ziegfeld,1936,176,"Biography,Drama,Musical",6.7,"7,665",321ede7b-fac6-4259-b070-b403b3404042
61,Anthony Adverse,1936,141,"Adventure,Drama,Romance",6.4,"1,706",339e98eb-684b-4a4e-a67c-9a3ffb5f0de9
62,Dodsworth,1936,101,"Drama,Romance",7.8,"8,668",693ad8e8-f9cf-4c4d-b332-18026348de67
63,Libeled Lady,1936,98,"Comedy,Romance",7.9,"7,509",c41fc4b0-1b68-49d4-a45e-02699fbb9ec1
64,Mr. Deeds Goes to Town,1936,115,"Comedy,Drama,Romance",7.9,"20,594",9a189d11-e4f6-4b2b-9762-702806ce4a85
65,Romeo and Juliet,1936,125,"Drama,Romance",6.5,"1,910",1b04f1e8-f46b-403f-a5df-89ebebb52e4a
